geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
																		8554	'MTHFD2'	0.15	7.59E-06	1.71E-04		
																		8555	'BID'	0.15	7.62E-06	1.72E-04		
																		8556	'DUSP11'	0.15	7.62E-06	1.72E-04		
																		8557	'ABCB1'	0.15	7.64E-06	1.72E-04		
																		8558	'NUP93'	0.15	7.73E-06	1.74E-04		
																		8559	'KANSL1'	0.15	7.74E-06	1.74E-04		
																		8560	'DIABLO'	0.15	7.74E-06	1.74E-04		
																		8561	'STAM-AS1'	0.15	7.77E-06	1.75E-04		
																		8562	'AURKA'	0.15	7.79E-06	1.75E-04		
																		8563	'SMAD5'	0.15	7.84E-06	1.77E-04		
																		8564	'CCDC181'	0.15	7.88E-06	1.77E-04		
																		8565	'OLA1'	0.15	7.92E-06	1.78E-04		
																		8566	'PARP14'	0.15	7.97E-06	1.79E-04		
																		8567	'TOPORS-AS1'	0.15	7.98E-06	1.80E-04		
																		8568	'RTN4R'	0.15	8.00E-06	1.80E-04		
																		8569	'ARX'	0.15	8.01E-06	1.80E-04		
																		8570	'QPRT'	0.15	8.04E-06	1.81E-04		
																		8571	'PIN1P1'	0.15	8.06E-06	1.81E-04		
																		8572	'UGGT2'	0.15	8.09E-06	1.82E-04		
																		8573	'IGF1R'	0.15	8.12E-06	1.83E-04		
																		8574	'ZNF415'	0.15	8.14E-06	1.83E-04		
																		8575	'TGFB1I1'	0.15	8.18E-06	1.84E-04		
																		8576	'HAUS2'	0.15	8.23E-06	1.85E-04		
																		8577	'TUG1'	0.15	8.28E-06	1.86E-04		
																		8578	'KHDC1'	0.15	8.28E-06	1.86E-04		
																		8579	'MOB3B'	0.15	8.29E-06	1.86E-04		
																		8580	'COMMD2'	0.15	8.30E-06	1.87E-04		
																		8581	'LINC01125'	0.15	8.31E-06	1.87E-04		
																		8582	'AUH'	0.15	8.31E-06	1.87E-04		
																		8583	'LINC00893'	0.15	8.38E-06	1.88E-04		
																		8584	'SCT'	0.15	8.53E-06	1.92E-04		
																		8585	'GAP43'	0.15	8.56E-06	1.92E-04		
																		8586	'DNAJC15'	0.15	8.57E-06	1.92E-04		
																		8587	'LOC101927668'	0.15	8.59E-06	1.93E-04		
																		8588	'CEP72'	0.15	8.72E-06	1.96E-04		
																		8589	'CHMP2B'	0.15	8.74E-06	1.96E-04		
																		8590	'RAD17'	0.15	8.74E-06	1.96E-04		
																		8591	'CPNE9'	0.15	8.76E-06	1.97E-04		
																		8592	'ARL6'	0.15	8.82E-06	1.98E-04		
																		8593	'LMO7'	0.15	8.82E-06	1.98E-04		
																		8594	'DIRAS2'	0.15	8.82E-06	1.98E-04		
																		8595	'F7'	0.15	8.82E-06	1.98E-04		
																		8596	'FGD6'	0.15	8.85E-06	1.98E-04		
																		8597	'CGGBP1'	0.15	8.85E-06	1.98E-04		
																		8598	'CEP57'	0.15	8.87E-06	1.99E-04		
																		8599	'CCNL2'	0.15	8.92E-06	2.00E-04		
																		8600	'GYG2P1'	0.15	8.97E-06	2.01E-04		
																		8601	'RANBP6'	0.15	8.99E-06	2.02E-04		
																		8602	'HDAC8'	0.15	9.00E-06	2.02E-04		
																		8603	'GPR35'	0.15	9.00E-06	2.02E-04		
																		8604	'CTR9'	0.15	9.01E-06	2.02E-04		
																		8605	'ATP6V1E2'	0.15	9.02E-06	2.02E-04		
																		8606	'CLK2P'	0.15	9.03E-06	2.02E-04		
																		8607	'ATF7'	0.15	9.06E-06	2.03E-04		
																		8608	'MLIP'	0.15	9.09E-06	2.04E-04		
																		8609	'CACNA1I'	0.15	9.10E-06	2.04E-04		
																		8610	'ZNF519'	0.15	9.10E-06	2.04E-04		
																		8611	'CDADC1'	0.15	9.11E-06	2.04E-04		
																		8612	'WDR86'	0.15	9.12E-06	2.04E-04		
																		8613	'HOMER3'	0.15	9.12E-06	2.04E-04		
																		8614	'STX2'	0.15	9.14E-06	2.05E-04		
																		8615	'MYCBP'	0.15	9.20E-06	2.06E-04		
																		8616	'TMEM241'	0.15	9.21E-06	2.06E-04		
																		8617	'LOC100130691'	0.15	9.21E-06	2.06E-04		
																		8618	'DCTN3'	0.15	9.22E-06	2.06E-04		
																		8619	'SLX4IP'	0.15	9.25E-06	2.07E-04		
																		8620	'ARID3B'	0.15	9.35E-06	2.09E-04		
																		8621	'SPACA6P'	0.15	9.36E-06	2.09E-04		
																		8622	'NUFIP2'	0.15	9.40E-06	2.10E-04		
																		8623	'MAMSTR'	0.15	9.42E-06	2.11E-04		
																		8624	'SNORD83B'	0.15	9.47E-06	2.12E-04		
																		8625	'ZNF267'	0.15	9.51E-06	2.13E-04		
																		8626	'MFSD11'	0.15	9.53E-06	2.13E-04		
																		8627	'RSPRY1'	0.15	9.54E-06	2.13E-04		
																		8628	'GPRASP2'	0.15	9.54E-06	2.13E-04		
																		8629	'DNAJB5'	0.15	9.55E-06	2.13E-04		
																		8630	'PHYH'	0.15	9.55E-06	2.13E-04		
																		8631	'PCDHGB2'	0.15	9.55E-06	2.13E-04		
																		8632	'GRIA2'	0.15	9.62E-06	2.15E-04		
																		8633	'FCF1'	0.15	9.64E-06	2.15E-04		
																		8634	'ZNF330'	0.15	9.65E-06	2.16E-04		
																		8635	'SLC16A9'	0.15	9.67E-06	2.16E-04		
																		8636	'ZW10'	0.15	9.71E-06	2.17E-04		
																		8637	'SAMD4A'	0.15	9.78E-06	2.18E-04		
																		8638	'RALB'	0.15	9.78E-06	2.18E-04		
																		8639	'PTGR2'	0.15	9.89E-06	2.21E-04		
																		8640	'PRKX'	0.15	9.93E-06	2.22E-04		
																		8641	'GDF9'	0.15	9.94E-06	2.22E-04		
																		8642	'TMEM237'	0.15	9.97E-06	2.23E-04		
																		8643	'SCARNA12'	0.15	1.00E-05	2.24E-04		
																		8644	'ILDR2'	0.15	1.01E-05	2.24E-04		
																		8645	'MCM5'	0.15	1.02E-05	2.27E-04		
																		8646	'FBN1'	0.15	1.02E-05	2.27E-04		
																		8647	'KCNAB1'	0.15	1.02E-05	2.27E-04		
																		8648	'CTCF'	0.15	1.02E-05	2.28E-04		
																		8649	'C6orf203'	0.15	1.02E-05	2.28E-04		
																		8650	'NUP155'	0.15	1.03E-05	2.30E-04		
																		8651	'SFXN2'	0.15	1.03E-05	2.30E-04		
																		8652	'SLC2A10'	0.15	1.04E-05	2.31E-04		
																		8653	'SLC15A4'	0.15	1.05E-05	2.33E-04		
																		8654	'ISG20'	0.15	1.05E-05	2.33E-04		
																		8655	'PRKAR2A-AS1'	0.15	1.05E-05	2.33E-04		
																		8656	'ETV4'	0.15	1.05E-05	2.35E-04		
																		8657	'SUV39H2'	0.15	1.06E-05	2.35E-04		
																		8658	'PAN3-AS1'	0.15	1.06E-05	2.37E-04		
																		8659	'ZNF160'	0.15	1.07E-05	2.37E-04		
																		8660	'NOVA2'	0.15	1.07E-05	2.38E-04		
																		8661	'ZBTB16'	0.15	1.07E-05	2.39E-04		
																		8662	'USP45'	0.15	1.08E-05	2.41E-04		
																		8663	'FBXO30'	0.15	1.09E-05	2.42E-04		
																		8664	'SP1'	0.15	1.09E-05	2.43E-04		
																		8665	'AVPR1B'	0.15	1.11E-05	2.47E-04		
																		8666	'HLA-DPB1'	0.15	1.12E-05	2.49E-04		
																		8667	'NLRP2'	0.15	1.13E-05	2.51E-04		
																		8668	'CAPN5'	0.15	1.13E-05	2.51E-04		
																		8669	'LAT2'	0.15	1.13E-05	2.52E-04		
																		8670	'SPATA18'	0.15	1.14E-05	2.54E-04		
																		8671	'SLC7A5P2'	0.15	1.14E-05	2.54E-04		
																		8672	'WDPCP'	0.15	1.14E-05	2.54E-04		
																		8673	'MST4'	0.15	1.15E-05	2.55E-04		
																		8674	'ZNF136'	0.15	1.16E-05	2.57E-04		
																		8675	'MSH6'	0.15	1.16E-05	2.58E-04		
																		8676	'TMTC2'	0.15	1.17E-05	2.60E-04		
																		8677	'SRGAP3'	0.15	1.17E-05	2.61E-04		
																		8678	'LACE1'	0.15	1.17E-05	2.61E-04		
																		8679	'ZNF568'	0.15	1.18E-05	2.61E-04		
																		8680	'SLFN5'	0.15	1.18E-05	2.61E-04		
																		8681	'TMEM97'	0.15	1.18E-05	2.63E-04		
																		8682	'ZNF430'	0.15	1.19E-05	2.64E-04		
																		8683	'MTRF1L'	0.15	1.19E-05	2.65E-04		
																		8684	'ZBED8'	0.15	1.20E-05	2.66E-04		
																		8685	'TUBB1'	0.15	1.20E-05	2.66E-04		
																		8686	'SYT3'	0.15	1.20E-05	2.67E-04		
																		8687	'RMI1'	0.15	1.22E-05	2.70E-04		
																		8688	'DDX11'	0.15	1.22E-05	2.70E-04		
																		8689	'EIF2B2'	0.15	1.22E-05	2.70E-04		
																		8690	'ENO1'	0.15	1.22E-05	2.71E-04		
																		8691	'RNF38'	0.15	1.22E-05	2.72E-04		
																		8692	'OXER1'	0.15	1.23E-05	2.72E-04		
																		8693	'BRD1'	0.15	1.23E-05	2.72E-04		
																		8694	'GLP1R'	0.15	1.23E-05	2.73E-04		
																		8695	'ZNF606'	0.15	1.23E-05	2.73E-04		
																		8696	'MOK'	0.15	1.23E-05	2.73E-04		
																		8697	'PAAF1'	0.15	1.24E-05	2.74E-04		
																		8698	'METTL24'	0.15	1.24E-05	2.75E-04		
																		8699	'LOC101927043'	0.15	1.25E-05	2.78E-04		
																		8700	'DHX35'	0.15	1.25E-05	2.78E-04		
																		8701	'ZNF175'	0.15	1.26E-05	2.79E-04		
																		8702	'PPP1R36'	0.15	1.26E-05	2.80E-04		
																		8703	'ZBTB1'	0.15	1.26E-05	2.80E-04		
																		8704	'DNAJC12'	0.15	1.26E-05	2.80E-04		
																		8705	'ZMYND8'	0.15	1.27E-05	2.82E-04		
																		8706	'MAGED1'	0.15	1.27E-05	2.82E-04		
																		8707	'CCNT2-AS1'	0.15	1.27E-05	2.82E-04		
																		8708	'LAT'	0.15	1.27E-05	2.82E-04		
																		8709	'SSR2'	0.15	1.28E-05	2.83E-04		
																		8710	'USP11'	0.15	1.28E-05	2.84E-04		
																		8711	'C21orf88'	0.15	1.28E-05	2.84E-04		
																		8712	'PIFO'	0.15	1.29E-05	2.86E-04		
																		8713	'CEP135'	0.15	1.30E-05	2.87E-04		
																		8714	'LOC401127'	0.15	1.30E-05	2.88E-04		
																		8715	'FRMPD3'	0.15	1.30E-05	2.88E-04		
																		8716	'LINC00969'	0.15	1.30E-05	2.88E-04		
																		8717	'ENAM'	0.15	1.31E-05	2.89E-04		
																		8718	'MYH3'	0.15	1.31E-05	2.90E-04		
																		8719	'FAM228B'	0.15	1.31E-05	2.91E-04		
																		8720	'KIAA0754'	0.15	1.32E-05	2.91E-04		
																		8721	'PIEZO1'	0.15	1.32E-05	2.92E-04		
																		8722	'ZNF483'	0.15	1.32E-05	2.93E-04		
																		8723	'RNF6'	0.15	1.32E-05	2.93E-04		
																		8724	'MTO1'	0.15	1.33E-05	2.94E-04		
																		8725	'ZNF429'	0.15	1.33E-05	2.95E-04		
																		8726	'TCEAL6'	0.15	1.34E-05	2.96E-04		
																		8727	'MFF'	0.15	1.34E-05	2.97E-04		
																		8728	'AGR2'	0.15	1.34E-05	2.97E-04		
																		8729	'ZNF33A'	0.15	1.35E-05	2.98E-04		
																		8730	'SRPK2'	0.15	1.35E-05	2.98E-04		
																		8731	'EIF2B1'	0.15	1.36E-05	3.00E-04		
																		8732	'TGDS'	0.15	1.36E-05	3.00E-04		
																		8733	'CENPH'	0.15	1.36E-05	3.00E-04		
																		8734	'IFT172'	0.15	1.37E-05	3.01E-04		
																		8735	'NIP7'	0.15	1.37E-05	3.03E-04		
																		8736	'SDE2'	0.15	1.37E-05	3.03E-04		
																		8737	'KCTD8'	0.15	1.38E-05	3.04E-04		
																		8738	'NUPL2'	0.15	1.38E-05	3.05E-04		
																		8739	'CD109'	0.15	1.39E-05	3.06E-04		
																		8740	'FLJ38576'	0.15	1.39E-05	3.07E-04		
																		8741	'RASSF8'	0.15	1.39E-05	3.07E-04		
																		8742	'EPS15'	0.15	1.39E-05	3.08E-04		
																		8743	'PARD3'	0.15	1.40E-05	3.08E-04		
																		8744	'STARD7-AS1'	0.15	1.40E-05	3.08E-04		
																		8745	'SEMA6C'	0.15	1.40E-05	3.09E-04		
																		8746	'AMN'	0.15	1.41E-05	3.11E-04		
																		8747	'TEAD4'	0.15	1.42E-05	3.12E-04		
																		8748	'LOC644172.uid_21944'	0.15	1.42E-05	3.14E-04		
																		8749	'IGSF1'	0.15	1.43E-05	3.14E-04		
																		8750	'PRKCA'	0.15	1.44E-05	3.16E-04		
																		8751	'PNMA6A.uid_13363'	0.15	1.44E-05	3.17E-04		
																		8752	'RGMB-AS1'	0.15	1.45E-05	3.19E-04		
																		8753	'SRRM1'	0.15	1.45E-05	3.19E-04		
																		8754	'EFHD1'	0.15	1.45E-05	3.19E-04		
																		8755	'GPATCH1'	0.15	1.46E-05	3.21E-04		
																		8756	'DLL3'	0.15	1.47E-05	3.23E-04		
																		8757	'ZSCAN12'	0.15	1.47E-05	3.23E-04		
																		8758	'FTCD'	0.15	1.47E-05	3.24E-04		
																		8759	'FAM218A'	0.15	1.47E-05	3.25E-04		
																		8760	'NEBL'	0.15	1.47E-05	3.25E-04		
																		8761	'PCSK9'	0.15	1.48E-05	3.25E-04		
																		8762	'MRPL54'	0.15	1.48E-05	3.25E-04		
																		8763	'AGPS'	0.15	1.48E-05	3.26E-04		
																		8764	'TCEAL4'	0.15	1.48E-05	3.26E-04		
																		8765	'C2orf44'	0.15	1.49E-05	3.28E-04		
																		8766	'FTH1'	0.15	1.50E-05	3.29E-04		
																		8767	'CDHR2'	0.15	1.50E-05	3.30E-04		
																		8768	'SNORA67'	0.15	1.50E-05	3.31E-04		
																		8769	'PIGA'	0.15	1.51E-05	3.31E-04		
																		8770	'TDRD5'	0.15	1.51E-05	3.32E-04		
																		8771	'PDE7A'	0.15	1.51E-05	3.32E-04		
																		8772	'LPAR2'	0.15	1.52E-05	3.33E-04		
																		8773	'UBAP1L'	0.15	1.52E-05	3.34E-04		
																		8774	'DPY19L4'	0.15	1.52E-05	3.34E-04		
																		8775	'SOCS4'	0.15	1.52E-05	3.34E-04		
																		8776	'CTH'	0.15	1.53E-05	3.36E-04		
																		8777	'AGER'	0.15	1.53E-05	3.37E-04		
																		8778	'NPNT'	0.15	1.53E-05	3.37E-04		
																		8779	'CD81-AS1'	0.15	1.54E-05	3.37E-04		
																		8780	'SLC7A6OS'	0.15	1.54E-05	3.37E-04		
																		8781	'CD274'	0.15	1.54E-05	3.38E-04		
																		8782	'METTL21A'	0.15	1.54E-05	3.38E-04		
																		8783	'RPS6KA6'	0.15	1.54E-05	3.39E-04		
																		8784	'C12orf45'	0.15	1.54E-05	3.39E-04		
																		8785	'LOC441204'	0.15	1.55E-05	3.39E-04		
																		8786	'MEMO1'	0.15	1.55E-05	3.40E-04		
																		8787	'BRS3'	0.15	1.57E-05	3.45E-04		
																		8788	'ATP8B3'	0.15	1.57E-05	3.45E-04		
																		8789	'WDR35'	0.15	1.58E-05	3.46E-04		
																		8790	'USP2-AS1'	0.15	1.58E-05	3.47E-04		
																		8791	'PINLYP'	0.15	1.58E-05	3.47E-04		
																		8792	'SNORD47'	0.15	1.59E-05	3.48E-04		
																		8793	'ZNF587B'	0.15	1.59E-05	3.49E-04		
																		8794	'USP31'	0.15	1.60E-05	3.51E-04		
																		8795	'NIPAL3'	0.15	1.63E-05	3.56E-04		
																		8796	'THAP9-AS1'	0.15	1.63E-05	3.57E-04		
																		8797	'SLC5A3'	0.15	1.63E-05	3.58E-04		
																		8798	'FAM159B'	0.15	1.64E-05	3.59E-04		
																		8799	'ACYP1'	0.15	1.64E-05	3.59E-04		
																		8800	'SNORA11'	0.15	1.64E-05	3.59E-04		
																		8801	'MCFD2'	0.15	1.64E-05	3.60E-04		
																		8802	'TSPAN5'	0.15	1.64E-05	3.60E-04		
																		8803	'NKAPP1'	0.15	1.65E-05	3.62E-04		
																		8804	'BBIP1'	0.15	1.66E-05	3.63E-04		
																		8805	'MYO9A'	0.15	1.66E-05	3.63E-04		
																		8806	'SRY'	0.15	1.66E-05	3.64E-04		
																		8807	'BEX5'	0.15	1.67E-05	3.65E-04		
																		8808	'LMTK3'	0.15	1.68E-05	3.68E-04		
																		8809	'NR1D2'	0.15	1.68E-05	3.68E-04		
																		8810	'SNORD116-26'	0.15	1.68E-05	3.68E-04		
																		8811	'ZNF181'	0.15	1.68E-05	3.68E-04		
																		8812	'SF3B3'	0.15	1.68E-05	3.68E-04		
																		8813	'RHPN2'	0.15	1.69E-05	3.70E-04		
																		8814	'SLAIN1'	0.15	1.69E-05	3.70E-04		
																		8815	'LOC102723927'	0.15	1.70E-05	3.72E-04		
																		8816	'C5orf30'	0.15	1.70E-05	3.72E-04		
																		8817	'MFSD7'	0.15	1.71E-05	3.74E-04		
																		8818	'SCML1'	0.15	1.72E-05	3.75E-04		
																		8819	'PROSER2'	0.15	1.72E-05	3.76E-04		
																		8820	'MC1R'	0.15	1.72E-05	3.76E-04		
																		8821	'PIGW'	0.15	1.72E-05	3.76E-04		
																		8822	'RPS26P11'	0.15	1.72E-05	3.76E-04		
																		8823	'RADIL'	0.15	1.73E-05	3.77E-04		
																		8824	'CYP4F3'	0.15	1.73E-05	3.78E-04		
																		8825	'CNPY2'	0.15	1.73E-05	3.79E-04		
																		8826	'ARL4A'	0.15	1.73E-05	3.79E-04		
																		8827	'ZNF57'	0.15	1.74E-05	3.79E-04		
																		8828	'TMEM51-AS1'	0.15	1.74E-05	3.80E-04		
																		8829	'DPP10'	0.15	1.75E-05	3.82E-04		
																		8830	'NEU3'	0.15	1.75E-05	3.83E-04		
																		8831	'LINC01006'	0.15	1.76E-05	3.85E-04		
																		8832	'CABLES1'	0.15	1.77E-05	3.85E-04		
																		8833	'TMEM41B'	0.15	1.77E-05	3.86E-04		
																		8834	'RAPGEFL1'	0.15	1.77E-05	3.87E-04		
																		8835	'TMEM158'	0.15	1.78E-05	3.88E-04		
																		8836	'MIR1229'	0.15	1.78E-05	3.89E-04		
																		8837	'ZBTB37'	0.15	1.78E-05	3.89E-04		
																		8838	'SLC38A9'	0.15	1.79E-05	3.89E-04		
																		8839	'EIF2B3'	0.15	1.79E-05	3.89E-04		
																		8840	'SDC3'	0.15	1.79E-05	3.90E-04		
																		8841	'EXOC6B'	0.15	1.79E-05	3.90E-04		
																		8842	'CCDC96'	0.15	1.79E-05	3.91E-04		
																		8843	'TPST2'	0.15	1.79E-05	3.91E-04		
																		8844	'LINC01018'	0.15	1.79E-05	3.91E-04		
																		8845	'CLINT1'	0.15	1.80E-05	3.92E-04		
																		8846	'MT1HL1'	0.15	1.80E-05	3.92E-04		
																		8847	'MED23'	0.15	1.81E-05	3.94E-04		
																		8848	'RAB3GAP2'	0.15	1.82E-05	3.96E-04		
																		8849	'RBP7'	0.15	1.82E-05	3.96E-04		
																		8850	'LINC00167'	0.15	1.82E-05	3.97E-04		
																		8851	'PGBD4'	0.15	1.84E-05	4.00E-04		
																		8852	'ZNF480'	0.15	1.86E-05	4.05E-04		
																		8853	'LINC01355'	0.15	1.86E-05	4.05E-04		
																		8854	'DOCK9-AS2'	0.15	1.87E-05	4.06E-04		
																		8855	'AIMP2'	0.15	1.87E-05	4.06E-04		
																		8856	'TIGD4'	0.15	1.87E-05	4.07E-04		
																		8857	'PPP6R3'	0.15	1.88E-05	4.09E-04		
																		8858	'VSIG8'	0.15	1.88E-05	4.10E-04		
																		8859	'PTCHD2'	0.15	1.89E-05	4.11E-04		
																		8860	'LOC100862671'	0.15	1.89E-05	4.12E-04		
																		8861	'TIMM8A'	0.15	1.89E-05	4.12E-04		
																		8862	'HPSE'	0.15	1.90E-05	4.13E-04		
																		8863	'SMARCAD1'	0.15	1.90E-05	4.13E-04		
																		8864	'TMEM69'	0.15	1.90E-05	4.13E-04		
																		8865	'TBC1D15'	0.15	1.90E-05	4.13E-04		
																		8866	'RTCA-AS1'	0.15	1.90E-05	4.13E-04		
																		8867	'ZNF257'	0.15	1.90E-05	4.13E-04		
																		8868	'RPS2P32'	0.14	1.91E-05	4.15E-04		
																		8869	'LYSMD4'	0.14	1.92E-05	4.16E-04		
																		8870	'ERICH6-AS1'	0.14	1.92E-05	4.18E-04		
																		8871	'NKD2'	0.14	1.94E-05	4.22E-04		
																		8872	'SAYSD1'	0.14	1.95E-05	4.24E-04		
																		8873	'CCDC74A'	0.14	1.95E-05	4.24E-04		
																		8874	'VPS13A'	0.14	1.95E-05	4.24E-04		
																		8875	'UFSP2'	0.14	1.96E-05	4.27E-04		
																		8876	'C1QTNF5+MFRP'	0.14	1.97E-05	4.27E-04		
																		8877	'SOCS2-AS1'	0.14	1.97E-05	4.28E-04		
																		8878	'IFT140'	0.14	1.98E-05	4.29E-04		
																		8879	'DSE'	0.14	1.98E-05	4.29E-04		
																		8880	'ZNF280D'	0.14	1.98E-05	4.30E-04		
																		8881	'IMPA1'	0.14	1.98E-05	4.30E-04		
																		8882	'RAD9A'	0.14	1.98E-05	4.30E-04		
																		8883	'MLF1'	0.14	1.99E-05	4.31E-04		
																		8884	'CCDC30'	0.14	1.99E-05	4.31E-04		
																		8885	'ZNF701'	0.14	1.99E-05	4.33E-04		
																		8886	'PAQR6'	0.14	2.00E-05	4.33E-04		
																		8887	'IGFBP3'	0.14	2.00E-05	4.35E-04		
																		8888	'UBE2Q1'	0.14	2.01E-05	4.35E-04		
																		8889	'UGP2'	0.14	2.02E-05	4.37E-04		
																		8890	'LRP8'	0.14	2.02E-05	4.37E-04		
																		8891	'ALG8'	0.14	2.02E-05	4.38E-04		
																		8892	'MMACHC'	0.14	2.03E-05	4.40E-04		
																		8893	'CDON'	0.14	2.03E-05	4.40E-04		
																		8894	'SYP-AS1'	0.14	2.03E-05	4.41E-04		
																		8895	'ZSWIM3'	0.14	2.04E-05	4.42E-04		
																		8896	'ZBTB5'	0.14	2.04E-05	4.42E-04		
																		8897	'ENOX1'	0.14	2.04E-05	4.43E-04		
																		8898	'TBP'	0.14	2.04E-05	4.43E-04		
																		8899	'MPV17L'	0.14	2.05E-05	4.44E-04		
																		8900	'NPHS1'	0.14	2.05E-05	4.45E-04		
																		8901	'BEX2'	0.14	2.06E-05	4.45E-04		
																		8902	'KANK1'	0.14	2.06E-05	4.46E-04		
																		8903	'ZNF416'	0.14	2.06E-05	4.46E-04		
																		8904	'BMS1P20'	0.14	2.07E-05	4.48E-04		
																		8905	'CYP3A5'	0.14	2.07E-05	4.49E-04		
																		8906	'RNF139-AS1'	0.14	2.07E-05	4.49E-04		
																		8907	'TMEM39A'	0.14	2.08E-05	4.49E-04		
																		8908	'BMI1'	0.14	2.08E-05	4.51E-04		
																		8909	'SNORA78'	0.14	2.10E-05	4.54E-04		
																		8910	'NUDT6'	0.14	2.10E-05	4.54E-04		
																		8911	'MYO1B'	0.14	2.13E-05	4.60E-04		
																		8912	'LOC100289230'	0.14	2.13E-05	4.60E-04		
																		8913	'TCTE3'	0.14	2.13E-05	4.61E-04		
																		8914	'SNX6'	0.14	2.14E-05	4.63E-04		
																		8915	'PPP1CA'	0.14	2.14E-05	4.63E-04		
																		8916	'ZNF790'	0.14	2.15E-05	4.64E-04		
																		8917	'YES1'	0.14	2.16E-05	4.68E-04		
																		8918	'CD27'	0.14	2.16E-05	4.68E-04		
																		8919	'TRDMT1'	0.14	2.17E-05	4.69E-04		
																		8920	'NUDT4'	0.14	2.18E-05	4.70E-04		
																		8921	'SGK223'	0.14	2.18E-05	4.72E-04		
																		8922	'ABCD3'	0.14	2.18E-05	4.72E-04		
																		8923	'OSGEPL1'	0.14	2.19E-05	4.73E-04		
																		8924	'PAX8-AS1.uid_3717'	0.14	2.19E-05	4.73E-04		
																		8925	'MFAP3'	0.14	2.20E-05	4.76E-04		
																		8926	'METAP1D'	0.14	2.20E-05	4.76E-04		
																		8927	'CPEB4'	0.14	2.21E-05	4.77E-04		
																		8928	'SMIM7'	0.14	2.21E-05	4.78E-04		
																		8929	'RNF43'	0.14	2.22E-05	4.79E-04		
																		8930	'CRSP8P'	0.14	2.24E-05	4.83E-04		
																		8931	'GJD3'	0.14	2.24E-05	4.83E-04		
																		8932	'RNF165'	0.14	2.24E-05	4.83E-04		
																		8933	'SORBS2'	0.14	2.24E-05	4.83E-04		
																		8934	'BHLHE40'	0.14	2.25E-05	4.85E-04		
																		8935	'CDC37L1-AS1'	0.14	2.26E-05	4.88E-04		
																		8936	'LRFN1'	0.14	2.26E-05	4.88E-04		
																		8937	'CCDC173'	0.14	2.26E-05	4.88E-04		
																		8938	'ZFP91'	0.14	2.27E-05	4.90E-04		
																		8939	'ADORA1'	0.14	2.28E-05	4.91E-04		
																		8940	'NTN1'	0.14	2.28E-05	4.92E-04		
																		8941	'TMX3'	0.14	2.28E-05	4.92E-04		
																		8942	'KCNC4-AS1'	0.14	2.28E-05	4.92E-04		
																		8943	'LOC101928174'	0.14	2.30E-05	4.95E-04		
																		8944	'ZNF365'	0.14	2.30E-05	4.97E-04		
																		8945	'DRAM1'	0.14	2.31E-05	4.98E-04		
																		8946	'CASC1'	0.14	2.32E-05	5.01E-04		
																		8947	'PARD6G-AS1'	0.14	2.33E-05	5.02E-04		
																		8948	'KCTD21-AS1'	0.14	2.33E-05	5.02E-04		
																		8949	'ZNF264'	0.14	2.34E-05	5.03E-04		
																		8950	'ZNF567'	0.14	2.35E-05	5.07E-04		
																		8951	'GNPDA2'	0.14	2.38E-05	5.12E-04		
																		8952	'ASUN'	0.14	2.38E-05	5.12E-04		
																		8953	'NCL'	0.14	2.40E-05	5.16E-04		
																		8954	'WNT5B'	0.14	2.40E-05	5.17E-04		
																		8955	'RBAK'	0.14	2.41E-05	5.19E-04		
																		8956	'TOX4'	0.14	2.41E-05	5.19E-04		
																		8957	'URAHP'	0.14	2.42E-05	5.20E-04		
																		8958	'ARRB1'	0.14	2.42E-05	5.21E-04		
																		8959	'HIST1H4E'	0.14	2.42E-05	5.21E-04		
																		8960	'CPD'	0.14	2.42E-05	5.21E-04		
																		8961	'MBTPS2'	0.14	2.43E-05	5.23E-04		
																		8962	'CHST9'	0.14	2.45E-05	5.27E-04		
																		8963	'CC2D2A'	0.14	2.45E-05	5.27E-04		
																		8964	'C10orf88'	0.14	2.45E-05	5.27E-04		
																		8965	'EPHX3'	0.14	2.46E-05	5.28E-04		
																		8966	'HCST'	0.14	2.47E-05	5.30E-04		
																		8967	'RNF130'	0.14	2.47E-05	5.31E-04		
																		8968	'CYSRT1'	0.14	2.47E-05	5.32E-04		
																		8969	'C1orf53'	0.14	2.48E-05	5.32E-04		
																		8970	'SEMA4A'	0.14	2.48E-05	5.33E-04		
																		8971	'LOC101927391'	0.14	2.48E-05	5.33E-04		
																		8972	'MARC1'	0.14	2.48E-05	5.34E-04		
																		8973	'CCNH'	0.14	2.49E-05	5.35E-04		
																		8974	'C1orf74'	0.14	2.50E-05	5.37E-04		
																		8975	'NPAS1'	0.14	2.50E-05	5.38E-04		
																		8976	'TUSC3'	0.14	2.51E-05	5.40E-04		
																		8977	'ELP2'	0.14	2.52E-05	5.40E-04		
																		8978	'FBXL2'	0.14	2.52E-05	5.41E-04		
																		8979	'LINC00673'	0.14	2.52E-05	5.41E-04		
																		8980	'TYW5'	0.14	2.54E-05	5.46E-04		
																		8981	'VPS41'	0.14	2.54E-05	5.46E-04		
																		8982	'FAM185A'	0.14	2.55E-05	5.48E-04		
																		8983	'BRWD1-IT2'	0.14	2.56E-05	5.50E-04		
																		8984	'MMP9'	0.14	2.57E-05	5.51E-04		
